Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
interest,The feeling of wanting to know or learn about something or someone,quan tâm,She has a keen interest in art.,"noun, verb","interests, interesting, interested","curiosity, attention","boredom, indifference","show interest, have an interest"
interested,Showing curiosity or concern about something or someone; having a feeling of interest,thú vị,He is very interested in music.,"adjective, verb","interests, interesting, interested","curious, concerned","disinterested, uninterested","interested in, very interested"
interesting,Arousing curiosity or interest; holding or catching the attention,hấp dẫn,The book was very interesting.,"adjective, noun","interests, interesting, interested","fascinating, captivating","boring, dull","find interesting, interesting topic"
interior,Situated within or inside; relating to the inside; inner,nội thất,The interior of the house is beautiful.,"noun, adjective",interiors,"inside, inner","exterior, outside","interior design, interior of"
internal,Of or situated on the inside,nội bộ,She has an internal injury.,"adjective, noun",internally,"inside, inner","external, outer","internal organs, internal use"
international,"Existing, occurring, or carried on between two or more nations",quốc tế,They are attending an international conference.,"adjective, noun",internationally,"global, worldwide","domestic, national","international trade, international relations"
Internet,A global computer network providing a variety of information and communication facilities,internet,I found the information on the Internet.,"noun, proper noun",internets,"web, net",none,"access the Internet, browse the Internet"
interpret,"Explain the meaning of (information, words, or actions)",diễn giải,He will interpret the results for us.,"verb, noun","interprets, interpreting, interpreted","explain, clarify","misinterpret, misunderstand","interpret data, interpret correctly"
interpretation,The action of explaining the meaning of something,sự thông giải,Her interpretation of the text was unique.,"noun, verb",interpretations,"explanation, understanding",misinterpretation,"accurate interpretation, unique interpretation"
interrupt,Stop the continuous progress of (an activity or process),ngắt,Please do not interrupt the speaker.,"verb, noun","interrupts, interrupting, interrupted","disrupt, halt","continue, proceed","interrupt the flow, do not interrupt"
interview,"A meeting of people face to face, especially for consultation",phỏng vấn,She had a job interview yesterday.,"noun, verb","interviews, interviewing, interviewed","meeting, discussion",none,"job interview, interview process"
into,Expressing movement or action with the result that someone or something becomes enclosed or surrounded by something else,vào trong,He went into the room.,preposition,intos,"within, inside",outside,"into the box, into the room"
introduce,"Bring (something, especially a product, measure, or concept) into use or operation for the first time",giới thiệu,They will introduce a new product next month.,"verb, noun","introduces, introducing, introduced","present, launch","remove, withdraw","introduce a product, introduce oneself"
introduction,The action of introducing something,giới thiệu,The introduction of the new policy was well received.,"noun, verb",introductions,"presentation, launch","removal, withdrawal","brief introduction, detailed introduction"
invent,Create or design (something that has not existed before); be the originator of,phát minh,He invented a new type of engine.,"verb, noun","invents, inventing, invented","create, design","copy, imitate","invent something new, invent a device"
invention,"The action of inventing something, typically a process or device",sự phát minh,The invention of the telephone changed the world.,"noun, verb",inventions,"creation, discovery","imitation, copy","groundbreaking invention, recent invention"
invest,"Expend money with the expectation of achieving a profit or material result by putting it into financial schemes, shares, or property, or by using it to develop a commercial venture",đầu tư,She decided to invest in real estate.,"verb, noun","invests, investing, invested","allocate, fund","divest, withdraw","invest money, invest time"
investigate,"Carry out a systematic or formal inquiry to discover and examine the facts of (an incident, allegation, etc.) so as to establish the truth",khảo sát,The police will investigate the case.,"verb, noun","investigates, investigating, investigated","examine, probe","ignore, neglect","investigate thoroughly, investigate a case"
investment,The action or process of investing money for profit,sự đầu tư,His investment in the company paid off.,"noun, verb",investments,"funding, finance","divestment, withdrawal","financial investment, secure investment"
invite,"Make a polite, formal, or friendly request to (someone) to go somewhere or to do something",mời,They invited us to their wedding.,"verb, noun","invites, inviting, invited","ask, request","exclude, reject","invite someone, invite to"
involve,Include (something) as a necessary part or result,liên quan,The project will involve several steps.,"verb, noun","involves, involving, involved","include, engage","exclude, omit","involve in, involve with"
involved,Difficult to comprehend; complicated,có liên quan,He is involved in many activities.,"adjective, verb","involves, involving, involved","complicated, engaged","uncomplicated, simple","deeply involved, directly involved"
involvement,The fact or condition of being involved with or participating in something,sự tham gia,Her involvement in the project was crucial.,"noun, verb",involvements,"participation, engagement","exclusion, disengagement","active involvement, direct involvement"
iron,"A strong, hard magnetic silvery-gray metal, the chemical element of atomic number 26",sắt,The gate is made of iron.,"noun, verb",irons,"metal, steel",none,"cast iron, iron gate"
irritate,Make (someone) annoyed or a little angry,chọc tức,His comments irritated her.,"verb, noun","irritates, irritating, irritated","annoy, provoke","soothe, calm","irritate easily, irritate someone"
irritated,Showing or feeling slight anger; annoyed,bị kích thích,She was irritated by the noise.,"adjective, verb","irritates, irritating, irritated","annoyed, vexed","pleased, content","visibly irritated, slightly irritated"
island,A piece of land surrounded by water,hòn đảo,They visited a tropical island.,"noun, verb",islands,"key, islet",mainland,"tropical island, desert island"
issue,An important topic or problem for debate or discussion,vấn đề,They discussed the issue at length.,"noun, verb",issues,"problem, matter","solution, resolution","address an issue, current issue"
it,Used to refer to a thing previously mentioned or easily identified,Nó,It is raining outside.,pronoun,its,"this, that",none,"it is, it has"
item,"An individual article or unit, especially one that is part of a list, collection, or set",mục ,Each item on the list must be checked.,"noun, verb",items,"article, object","whole, entirety","check an item, list item"
itself,Used to emphasize a particular thing or animal mentioned,chính nó,The cat cleans itself.,pronoun,itself,"self, same",none,"by itself, for itself"
jacket,A short coat,áo khoác,He wore a leather jacket.,"noun, verb",jackets,"coat, blazer",none,"leather jacket, denim jacket"
jam,A sweet spread or preserve made from fruit and sugar boiled to a thick consistency,mứt,She spread jam on her toast.,"noun, verb",jams,"preserve, spread",none,"spread jam, fruit jam"
January,"The first month of the year, in the northern hemisphere usually considered the second month of winter",Tháng Một,January is a cold month.,"noun, proper noun",Januaries,none,none,"January weather, January 1st"
jealous,Feeling or showing envy of someone or their achievements and advantages,ghen tị,He felt jealous of his friend's success.,"adjective, verb",jealousy,"envious, covetous","content, satisfied","feel jealous, jealous of"
jeans,Hard-wearing trousers made of denim or other cotton fabric,quần jean,She bought a new pair of jeans.,"noun, verb",jeans,"denims, pants",none,"pair of jeans, blue jeans"
jelly,"A sweet, clear, semisolid spread or preserve made from fruit juice and sugar boiled to a thick consistency",thạch,She likes strawberry jelly.,"noun, verb",jellies,"preserve, conserve",none,"strawberry jelly, fruit jelly"
jewel,"A precious stone, typically a single crystal or a piece of a hard lustrous or translucent mineral cut into a regular shape",viên ngọc quý,The crown was adorned with jewels.,"noun, verb",jewels,"gem, gemstone",none,"precious jewel, crown jewel"
jewelry,"Personal ornaments, such as necklaces, rings, or bracelets, that are typically made from or contain jewels and precious metal",trang sức,She wore elegant jewelry.,"noun, verb",jewelries,"ornament, bijouterie",none,"gold jewelry, elegant jewelry"
job,A paid position of regular employment,công việc,He has a new job at the company.,"noun, verb",jobs,"occupation, position","unemployment, none","new job, part-time job"
join,Link or connect (something) together,tham gia,They decided to join the club.,"verb, noun","joins, joining, joined","unite, connect","separate, divide","join a club, join the team"
joint,A point at which parts of an artificial structure are joined,chung,He has pain in his knee joint.,"noun, adjective",joints,"junction, connection",none,"knee joint, elbow joint"
jointly,With another person or people; together,cùng nhau,They worked jointly on the project.,adverb,jointly,"together, mutually","individually, singly","jointly owned, jointly responsible"
joke,"A thing that someone says to cause amusement or laughter, especially a story with a funny punchline",câu nói đùa,He told a funny joke.,"noun, verb","jokes, joking, joked","funny story, quip","serious remark, statement","tell a joke, play a joke"
journalist,"A person who writes for newspapers, magazines, or news websites or prepares news to be broadcast",nhà báo,She is a well-known journalist.,"noun, verb",journalists,"reporter, correspondent",none,"investigative journalist, freelance journalist"
journey,An act of traveling from one place to another,hành trình,Their journey took several days.,"noun, verb",journeys,"trip, travel",none,"long journey, enjoy the journey"
joy,A feeling of great pleasure and happiness,vui sướng,She was filled with joy.,"noun, verb",joys,"happiness, delight","sorrow, sadness","great joy, joy of"
judge,A public official appointed to decide cases in a court of law,phán xét,The judge will give his verdict.,"noun, verb","judges, judging, judged","magistrate, adjudicator",none,"court judge, supreme judge"
judgement,The ability to make considered decisions or come to sensible conclusions,sự phán xét,Use your judgement to make the decision.,"noun, verb",judgements,"decision, verdict","indecision, doubt","good judgement, sound judgement"
juice,The liquid obtained from or present in fruit or vegetables,nước ép,She drank a glass of orange juice.,"noun, verb",juices,"nectar, extract",none,"fruit juice, fresh juice"
July,"The seventh month of the year, in the northern hemisphere usually considered the second month of summer",Tháng bảy,We have a holiday in July.,"noun, proper noun",Julys,none,none,"in July, July 4th"
jump,Push oneself off a surface and into the air by using the muscles in one's legs and feet,nhảy,The cat can jump high.,"verb, noun","jumps, jumping, jumped","leap, spring","fall, drop","jump up, jump over"
June,"The sixth month of the year, in the northern hemisphere usually considered the first month of summer",Tháng sáu,June is my favorite month.,"noun, proper noun",Junes,none,none,"in June, June 1st"
junior,"Of, for, or denoting young or younger people",nhỏ,He is a junior member of the team.,"adjective, noun",juniors,"younger, novice","senior, older","junior team, junior member"
jury,A body of people (typically twelve in number) sworn to give a verdict in a legal case on the basis of evidence submitted to them in court,bồi thẩm đoàn,The jury reached a unanimous verdict.,"noun, verb",juries,"panel, tribunal",none,"serve on a jury, jury duty"
just,Based on or behaving according to what is morally right and fair,chỉ,It was a just decision.,"adjective, adverb",justly,"fair, unbiased","unfair, biased","just decision, just cause"
justice,Just behavior or treatment,công lý,They are fighting for justice.,"noun, verb",justices,"fairness, law","injustice, unfairness","seek justice, social justice"
justify,Show or prove to be right or reasonable,biện minh,She tried to justify her actions.,"verb, noun","justifies, justifying, justified","defend, explain","condemn, blame","justify actions, justify the means"
keen,Having or showing eagerness or enthusiasm,sắc sảo,She is keen to learn new things.,"adjective, verb","keener, keenest","eager, enthusiastic","uninterested, apathetic","keen interest, keen on"
keep,Have or retain possession of,giữ,Please keep this document safe.,"verb, noun","keeps, keeping, kept","hold, retain","release, let go","keep safe, keep in mind"
key,A small piece of shaped metal with incisions cut to fit the wards of a particular lock and operate it,chìa khóa,He lost his keys.,"noun, adjective",keys,"lock, opener","lock, hinder","house key, key to"
keyboard,A panel of keys that operate a computer or typewriter,bàn phím,She typed the letter on the keyboard.,"noun, verb",keyboards,"typewriter keyboard, computer keyboard",none,"keyboard keys, computer keyboard"
kick,Strike or propel forcibly with the foot,đá,He kicked the ball into the goal.,"verb, noun","kicks, kicking, kicked","boot, strike","caress, touch","kick a ball, kick out"
kid,A child or young person,đứa trẻ,The kids are playing outside.,"noun, verb",kids,"child, youngster","adult, elder","young kid, kids are"
kill,"Cause the death of (a person, animal, or other living thing)",giết,He was killed in an accident.,"verb, noun","kills, killing, killed","murder, slay","save, preserve","kill time, kill the mood"
kind,A group of people or things having similar characteristics,loại,There are many kinds of flowers.,"noun, adjective",kinds,"type, category",none,"different kinds, same kind"
kindly,In a kind manner,tử tế,She kindly offered to help.,"adverb, adjective","kindlier, kindliest","nicely, graciously","unkindly, rudely","kindly offer, kindly ask"
kindness,"The quality of being friendly, generous, and considerate",lòng tốt,Her kindness is appreciated.,"noun, verb",kindnesses,"generosity, consideration","unkindness, cruelty","act of kindness, kindness to"
king,"The male ruler of an independent state, especially one who inherits the position by right of birth",nhà vua,The king addressed his subjects.,"noun, verb",kings,"monarch, sovereign","commoner, subject","king and queen, the king's"
kiss,"Touch with the lips as a sign of love, sexual desire, reverence, or greeting",hôn,He kissed her on the cheek.,"verb, noun",kisses,"peck, smooch","slap, hit","kiss on the cheek, kiss and tell"
kitchen,A room or area where food is prepared and cooked,phòng bếp,She cooked dinner in the kitchen.,"noun, adjective",kitchens,"cookhouse, galley",none,"kitchen table, kitchen sink"
knee,The joint between the thigh and the lower leg,đầu gối,He injured his knee while playing soccer.,"noun, verb",knees,"joint, patella",none,"knee injury, knee joint"
knife,"An instrument composed of a blade fixed into a handle, used for cutting or as a weapon",dao,He cut the vegetables with a knife.,"noun, verb",knives,"blade, cutter",none,"sharp knife, knife blade"
knit,"Make (a garment, fabric, etc.) by interlocking loops of wool or other yarn with knitting needles or on a machine",đan,She likes to knit scarves.,"verb, noun","knits, knitting, knitted","weave, stitch",none,"knit a sweater, knit together"
knock,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door",cú đánh,He knocked on the door.,"verb, noun","knocks, knocking, knocked","rap, tap","ignore, overlook","knock on the door, knock down"
know,"Be aware of through observation, inquiry, or information",biết,I know the answer.,"verb, noun","knows, knowing, known","understand, recognize","ignore, misunderstand","know the answer, know how"
knowledge,"Facts, information, and skills acquired through experience or education; the theoretical or practical understanding of a subject",kiến thức,His knowledge of history is impressive.,"noun, verb",knowledges,"wisdom, learning","ignorance, incomprehension","vast knowledge, acquire knowledge"
label,"A small piece of paper, fabric, plastic, or similar material attached to an object and giving information about it",nhãn,She read the label on the bottle.,"noun, verb",labels,"tag, marker",none,"product label, label on"
laboratory,"A room or building equipped for scientific experiments, research, or teaching, or for the manufacture of drugs or chemicals",phòng thí nghiệm,The scientist works in a laboratory.,"noun, adjective",laboratories,"lab, research center",none,"scientific laboratory, chemistry laboratory"
lack,The state of being without or not having enough of something,thiếu,There is a lack of evidence.,"noun, verb",lacks,"shortage, deficit","abundance, plenty","lack of, complete lack"
lady,A woman (used as a polite or old-fashioned form of reference),quý bà,She is a kind lady.,"noun, adjective",ladies,"woman, dame","gentleman, man","young lady, kind lady"
lake,A large body of water surrounded by land,hồ,They swam in the lake.,"noun, verb",lakes,"pond, reservoir","sea, ocean","swim in the lake, large lake"
lamp,"A device for giving light, either one consisting of an electric bulb together with its holder and shade or cover",đèn,He turned on the lamp.,"noun, verb",lamps,"light, lantern","darkness, shadow","table lamp, lamp post"
land,"The part of the earth's surface that is not covered by water, as opposed to the sea or the air",đất,They bought a piece of land.,"noun, verb",lands,"ground, soil","sea, water","piece of land, own land"
landscape,"All the visible features of an area of countryside or land, often considered in terms of their aesthetic appeal",phong cảnh,The landscape is beautiful.,"noun, verb",landscapes,"scenery, view",none,"beautiful landscape, landscape painting"
language,"The method of human communication, either spoken or written, consisting of the use of words in a structured and conventional way",ngôn ngữ,He speaks three languages.,"noun, verb",languages,"tongue, speech","silence, none","native language, foreign language"
large,"Of considerable or relatively great size, extent, or capacity",lớn,They live in a large house.,"adjective, noun","larger, largest","big, huge","small, tiny","large house, large amount"
largely,To a great extent; mostly,phần lớn,The success is largely due to teamwork.,adverb,larger,"mostly, mainly","little, slightly","largely due to, largely responsible"
last,Coming after all others in time or order; final,cuối cùng,He was the last person to leave.,"adjective, noun","lasts, lasting, lasted","final, ultimate","first, initial","last person, last place"
late,"Doing something or taking place after the expected, proper, or usual time",muộn,She arrived late to the meeting.,"adjective, adverb","later, latest","delayed, overdue","early, punctual","arrive late, late at night"
later,At a time subsequent to a reference time,sau đó,We will discuss this later.,"adverb, adjective","later, latest","afterwards, subsequently","earlier, sooner","later today, see you later"
latest,The most recent or current,mới nhất,Here is the latest news.,"adjective, noun",latest,"newest, most recent","oldest, outdated","latest news, latest technology"
laugh,Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision,cười,The joke made everyone laugh.,"verb, noun","laughs, laughing, laughed","giggle, chuckle","cry, weep","laugh out loud, laugh at"
launch,Set (a boat) in motion by pushing it or allowing it to roll into the water,phóng,They will launch the new product next month.,"verb, noun","launches, launching, launched","initiate, commence","halt, stop","launch a campaign, product launch"
law,The system of rules which a particular country or community recognizes as regulating the actions of its members and which it may enforce by the imposition of penalties,pháp luật,Everyone must obey the law.,"noun, verb",laws,"rule, regulation","disorder, anarchy","break the law, law and order"
lawyer,A person who practices or studies law; an attorney or a counselor,luật sư,She is studying to become a lawyer.,"noun, verb",lawyers,"attorney, solicitor",none,"criminal lawyer, corporate lawyer"
lay,"Put down, especially gently or carefully",đặt nằm,He lay down on the bed.,"verb, noun","lays, laying, laid","put, place","rise, stand","lay down, lay on"
layer,"A sheet, quantity, or thickness of material, typically one of several, covering a surface or body",lớp,There is a layer of dust on the shelf.,"noun, verb",layers,"coating, film",none,"thin layer, layer of dust"
lazy,Unwilling to work or use energy,lười,He is too lazy to clean his room.,"adjective, verb","lazier, laziest","indolent, slothful","industrious, hardworking","lazy day, feel lazy"
lead,"Cause (a person or animal) to go with one by holding them by the hand, a halter, a rope, etc. while moving forward",chỉ huy,She will lead the team to victory.,"verb, noun","leads, leading, led","guide, direct","follow, trail","lead the way, lead to"
leader,"The person who leads or commands a group, organization, or country",lãnh đạo,He is a natural leader.,"noun, verb",leaders,"chief, commander","follower, subordinate","natural leader, team leader"
leading,Most important,dẫn đầu,She is the leading expert in the field.,"adjective, noun",leadings,"main, principal","secondary, minor","leading role, leading cause"
leaf,"A flattened structure of a higher plant, typically green and bladelike, that is attached to a stem directly or via a stalk",lá cây,The tree has lost all its leaves.,"noun, verb",leaves,"foliage, frond",none,"green leaf, leaf fall"
league,"A collection of people, countries, or groups that combine for a particular purpose, typically mutual protection or cooperation",liên minh,They formed a new league.,"noun, verb",leagues,"association, alliance",none,"football league, join a league"
lean,Be in or move into a sloping position,độ nghiêng,She leaned back in her chair.,"verb, adjective","leans, leaning, leaned","tilt, incline","straighten, upright","lean against, lean back"
learn,"Gain or acquire knowledge of or skill in (something) by study, experience, or being taught",học hỏi,He wants to learn French.,"verb, noun","learns, learning, learned","study, understand","forget, neglect","learn a language, learn from"
least,"Smallest in amount, extent, or significance",ít nhất,He did the least work.,"adjective, noun",less,"minimum, slightest","most, maximum","at least, the least"
leather,A material made from the skin of an animal by tanning or a similar process,da thú,The jacket is made of leather.,"noun, verb",leathers,"hide, skin",none,"leather jacket, leather shoes"
leave,Go away from,rời khỏi,She decided to leave the party early.,"verb, noun","leaves, leaving, left","depart, go","stay, arrive","leave early, leave behind"
lecture,"An educational talk to an audience, especially one of students in a university",bài giảng,The professor gave an interesting lecture.,"noun, verb",lectures,"speech, talk","conversation, chat","give a lecture, attend a lecture"
left,"On, towards, or relating to the side of a human body or of a thing that is to the west when the person or thing is facing north",bên trái,Turn left at the next intersection.,"adjective, noun",lefts,"westward, portside","right, rightward","turn left, left side"
leg,Each of the limbs on which a person or animal walks and stands,chân,He injured his leg during the game.,"noun, verb",legs,"limb, appendage",none,"broken leg, leg injury"
legal,"Of, based on, or concerned with the law",hợp pháp,He needs legal advice.,"adjective, noun",legally,"lawful, legitimate","illegal, unlawful","legal advice, legal rights"
legally,In a way that conforms to or is permitted or required by the law,hợp pháp,The business is operating legally.,adverb,legals,"lawfully, rightfully","illegally, unlawfully","legally required, legally binding"
lemon,"A yellow citrus fruit with a bitter, acidic juice",chanh vàng,She added lemon to the tea.,"noun, verb",lemons,"citrus, citron",none,"slice of lemon, lemon juice"
lend,Grant to (someone) the use of (something) on the understanding that it will be returned,cho mượn,Can you lend me your pen?,"verb, noun","lends, lending, lent","loan, advance","borrow, take","lend money, lend a hand"
length,The measurement or extent of something from end to end,chiều dài,The length of the table is 2 meters.,"noun, verb",lengths,"distance, extent","height, width","full length, length of"
less,To a smaller extent; not as much,ít hơn,She earns less money than he does.,"adjective, adverb",lesser,"fewer, smaller","more, greater","less than, no less"
lesson,An amount of teaching given at one time; a period of learning or teaching,bài học,The teacher gave a history lesson.,"noun, verb",lessons,"class, instruction",none,"history lesson, life lesson"
let,Allow someone to have or do something,cho phép,She let him use her car.,"verb, noun","lets, letting, let","allow, permit","forbid, prevent","let go, let out"
letter,"A written, typed, or printed communication, especially one sent in an envelope by mail or messenger",thư,She received a letter from her friend.,"noun, verb",letters,"note, missive",none,"write a letter, send a letter"
level,"A position on a real or imaginary scale of amount, quantity, extent, or quality",mức độ,The water level is rising.,"noun, verb",levels,"height, standard",none,"water level, level of"
library,"A building or room containing collections of books, periodicals, and sometimes films and recorded music for people to read, borrow, or refer to",thư viện,She borrowed the book from the library.,"noun, verb",libraries,"book collection, reading room",none,"public library, library book"
license,"A permit from an authority to own or use something, do a particular thing, or carry on a trade (especially in alcoholic drinks)",giấy phép,He has a driver's license.,"noun, verb",licenses,"permit, certification","restriction, prohibition","driver's license, license to"
lie,Be in or assume a horizontal or resting position on a supporting surface,nói dối,He lies down to rest every afternoon.,"verb, noun","lies, lying, lied","recline, rest","stand, sit","lie down, lie in"
life,The existence of an individual human being or animal,mạng sống,Life is beautiful.,"noun, verb",lives,"existence, being","death, nonexistence","life and death, life is"
lift,Raise to a higher position or level,thang máy,She can lift heavy weights.,"verb, noun","lifts, lifting, lifted","raise, elevate","lower, drop","lift weights, lift up"
light,The natural agent that stimulates sight and makes things visible,ánh sáng,The room is filled with light.,"noun, verb",lights,"brightness, luminosity","darkness, shadow","bright light, natural light"
lightly,"With little weight, force, intensity, etc.",nhẹ nhàng,She touched the fabric lightly.,adverb,"lighter, lightest","gently, softly","heavily, strongly","touch lightly, lightly brush"
like,Having the same characteristics or qualities as; similar to,giống,He likes to play soccer.,"preposition, noun","likes, liking, liked","enjoy, prefer","dislike, hate","like doing, like to"
likely,Such as well might happen or be true; probable,rất có thể,It is likely to rain tomorrow.,"adjective, adverb","likelier, likeliest","probable, possible","unlikely, improbable","likely to happen, most likely"
limit,A point or level beyond which something does not or may not extend or pass,giới hạn,There is a limit to how much you can carry.,"noun, verb",limits,"boundary, restriction","freedom, infinity","upper limit, limit of"
limited,"Restricted in size, amount, or extent; few, small, or short",giới hạn,The tickets are limited in number.,"adjective, verb","limits, limiting, limited","restricted, finite","unlimited, infinite","limited edition, limited access"
line,"A long, narrow mark or band",đường kẻ,Draw a straight line.,"noun, verb",lines,"stripe, streak",none,"draw a line, straight line"
link,"A relationship between two things or situations, especially where one thing affects the other",liên kết,There is a direct link between smoking and lung cancer.,"noun, verb",links,"connection, tie","disconnect, break","link between, establish a link"
lip,Either of the two fleshy parts that form the upper and lower edges of the opening of the mouth,môi,She applied lipstick to her lips.,"noun, verb",lips,"mouth, edge",none,"upper lip, lower lip"
liquid,"A substance that flows freely but is of constant volume, having a consistency like that of water or oil",chất lỏng,Water is a liquid.,"noun, adjective",liquids,"fluid, aqueous","solid, gas","clear liquid, liquid form"
list,"A number of connected items or names written or printed consecutively, typically one below the other",danh sách,Make a list of items you need.,"noun, verb",lists,"inventory, catalogue",none,"shopping list, to-do list"
listen,Give one's attention to a sound,Nghe,Listen to the teacher.,"verb, noun","listens, listening, listened","hear, attend","ignore, disregard","listen carefully, listen to"
literature,"Written works, especially those considered of superior or lasting artistic merit",văn học,She studies English literature.,"noun, verb",literatures,"writings, books",none,"classic literature, modern literature"
litre,"A metric unit of capacity, formerly defined as the volume of one kilogram of water under standard conditions, now equal to 1,000 cubic centimeters (approximately 1.75 pints)",lít,A litre of water is required for the recipe.,"noun, verb",litres,none,none,"litre of water, litre bottle"
little,"Small in size, amount, or degree",nhỏ bé,There is a little cat in the garden.,"adjective, noun","littler, littlest","small, tiny","large, big","little bit, little cat"
live,Remain alive,sống,Many animals live in the forest.,"verb, adjective","lives, living, lived","exist, survive","die, perish","live in, live with"
living,An income sufficient to live on or the means of earning it,cuộc sống,He is earning a living as a teacher.,"noun, adjective",livings,"livelihood, income","unemployment, none","cost of living, standard of living"
load,A heavy or bulky thing that is being carried or is about to be carried,trọng tải,He carried a heavy load.,"noun, verb",loads,"burden, cargo",none,"heavy load, load up"
loan,"A thing that is borrowed, especially a sum of money that is expected to be paid back with interest",khoản vay,She took out a loan to buy a car.,"noun, verb",loans,"credit, mortgage",none,"bank loan, student loan"
local,Relating or restricted to a particular area or one's neighborhood,địa phương,She shops at the local market.,"adjective, noun",locals,"community, neighborhood","global, widespread","local market, local community"
locate,Discover the exact place or position of,xác định vị trí,They were able to locate the missing keys.,"verb, noun","locates, locating, located","find, detect","lose, misplace","locate exactly, locate the missing"
location,A particular place or position,vị trí,The location of the building is ideal.,"noun, verb",locations,"place, position",none,"ideal location, prime location"
lock,"A device for securing a door, gate, lid, or drawer in position when closed, typically operated by a key",khóa,He locked the door before leaving.,"noun, verb",locks,"fasten, secure","unlock, open","lock the door, key lock"
log,A part of the trunk or a large branch of a tree that has fallen or been cut off,nhật ký,He threw another log on the fire.,"noun, verb","logs, logging, logged","timber, wood",none,"throw a log, log cabin"
logic,Reasoning conducted or assessed according to strict principles of validity,logic,His argument lacks logic.,"noun, verb",logics,"reasoning, sense","irrationality, nonsense","lack logic, use logic"
logical,Of or according to the rules of logic or formal argument,logic,She gave a logical explanation.,"adjective, noun",logically,"rational, coherent","illogical, irrational","logical explanation, logical conclusion"
lonely,Sad because one has no friends or company,cô đơn,She felt lonely after moving to a new city.,"adjective, noun",loneliness,"isolated, lonesome","sociable, outgoing","feel lonely, lonely place"
long,Measuring a great distance from end to end,dài,They took a long walk.,"adjective, verb","longer, longest","lengthy, extended","short, brief","long walk, long time"
look,Direct one's gaze toward someone or something or in a specified direction,Nhìn,Look at the sky.,"verb, noun","looks, looking, looked","gaze, glance","ignore, overlook","look at, look for"
loose,Not firmly or tightly fixed in place; detached or able to be detached,lỏng lẻo,The handle is loose.,"adjective, noun","looser, loosest","unstable, slack","tight, secure","loose connection, loose fitting"
lord,"Someone or something having power, authority, or influence; a master or ruler",chúa tể,The lord of the manor lived in a grand house.,"noun, verb",lords,"master, ruler","servant, follower","lord and lady, lord of"
lose,Be deprived of or cease to have or retain (something),thua,He tends to lose his keys.,"verb, noun","loses, losing, lost","misplace, forfeit","find, win","lose keys, lose weight"
loss,The fact or process of losing something or someone,sự mất mát,The company suffered a loss last year.,"noun, verb",losses,"defeat, failure","gain, success","financial loss, loss of"
lost,Unable to find one's way; not knowing one's whereabouts,mất,He felt lost in the new city.,"adjective, verb","loses, losing, lost","misplaced, missing","found, located","feel lost, get lost"
lot,"A particular group, collection, or set of people or things",nhiều,She bought a lot of books.,"noun, adverb",lots,"many, bunch","few, little","a lot of, lots of"
loud,Producing or capable of producing much noise,ồn ào,The music was too loud.,"adjective, noun","louder, loudest","noisy, thunderous","quiet, soft","loud noise, loud music"
loudly,In a way that produces much noise,lớn tiếng,She spoke loudly.,adverb,louder,"noisily, vocally","quietly, softly","speak loudly, laugh loudly"
love,An intense feeling of deep affection,yêu,They are deeply in love.,"noun, verb","loves, loving, loved","affection, passion","hate, dislike","fall in love, true love"
lovely,Exquisitely beautiful,đáng yêu,She has a lovely smile.,"adjective, noun","lovelier, loveliest","beautiful, charming","ugly, unattractive","lovely day, lovely place"
lover,A partner in a romantic or sexual relationship,người yêu,He is her lover.,"noun, verb",lovers,"partner, sweetheart","enemy, foe","secret lover, lover of"
low,Of less than average height from top to bottom or to the top from the ground,thấp,The table is too low.,"adjective, noun","lower, lowest","short, small","high, tall","low table, low level"
lower,Move (someone or something) in a downward direction,thấp hơn,Please lower your voice.,"verb, noun","lowers, lowering, lowered","reduce, diminish","raise, lift","lower down, lower price"
luck,Success or failure apparently brought by chance rather than through one's own actions,may mắn,He wished her good luck.,"noun, verb",lucks,"fortune, chance","misfortune, bad luck","good luck, best of luck"
lucky,"Having, bringing, or resulting from good luck",may mắn,He is a lucky person.,"adjective, verb","luckiest, luckier","fortunate, blessed","unlucky, unfortunate","lucky day, lucky person"
luggage,Suitcases or other bags in which to pack personal belongings for traveling,hành lý,They carried their luggage to the car.,"noun, adjective",luggages,"baggage, bags",none,"carry luggage, piece of luggage"
lump,"A compact mass of a substance, especially one without a definite or regular shape",một cục,He found a lump in the soup.,"noun, verb",lumps,"clump, chunk",none,"lump in, small lump"
lunch,"A meal eaten in the middle of the day, typically one that is lighter or less formal than an evening meal",bữa trưa,We have lunch at noon.,"noun, verb",lunches,"midday meal, brunch","dinner, supper","have lunch, lunch break"
lung,"Each of the pair of organs situated within the ribcage, responsible for breathing",phổi,Smoking is harmful to the lungs.,"noun, verb",lungs,"respiratory organ, pulmonary organ",none,"lung disease, lung cancer"
machine,"An apparatus using or applying mechanical power and having several parts, each with a definite function and together performing a particular task",máy móc,The washing machine is broken.,"noun, verb",machines,"device, apparatus",none,"washing machine, machine part"
machinery,Machines collectively,máy móc,The factory uses advanced machinery.,"noun, verb",machineries,"equipment, tools",none,"heavy machinery, modern machinery"
mad,Very angry,điên rồ,She was mad at him.,"adjective, noun","madder, maddest","angry, furious","calm, composed","mad at, go mad"
